Nom du film,Annee,Score,Duree,Acteur,Genre,Description
Unforgiven,,8.2,2,Stars,Drama,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
There Will Be Blood,,8.2,2,Stars,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
Pan's Labyrinth,,8.2,1,Stars,Drama,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
Casino,,8.2,2,Stars,Crime,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
The Sixth Sense,,8.2,1,Stars,Drama,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
Ran,,8.2,2,Writers,Action,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Judgment at Nuremberg,,8.3,2,Stars,Drama,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
All About Eve,,8.2,2,Stars,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
A Beautiful Mind,,8.2,2,Stars,Biography,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
The Wolf of Wall Street,,8.2,3,Stars,Biography,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
The Kid,,8.3,1,Stars,Comedy,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
The Father,,8.2,1,Stars,Drama,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
Green Book,,8.2,2,Stars,Biography,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
Some Like It Hot,,8.2,2,Writers,Comedy,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Batman Begins,,8.2,2,Stars,Action,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
For a Few Dollars More,,8.2,2,Writers,Western,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
Dangal,,8.3,2,Writers,Action,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
Downfall,,8.2,2,Writers,Biography,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
1917,,8.2,1,Stars,Action,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Indiana Jones and the Last Crusade,,8.2,2,Writers,Action,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
Like Stars on Earth,,8.4,2,Stars,Drama,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
Snatch,,8.2,1,Stars,Comedy,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Bicycle Thieves,,8.3,1,Writers,Drama,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
L.A. Confidential,,8.2,2,Stars,Crime,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Die Hard,,8.2,2,Stars,Action,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
A Separation,,8.3,2,Stars,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Metropolis,,8.3,2,Stars,Drama,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
Taxi Driver,,8.2,1,Stars,Crime,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
Incendies,,8.3,2,Stars,Drama,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Heat,,8.3,2,Stars,Action,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
The Sting,,8.3,2,Stars,Comedy,Two grifters team up to pull off the ultimate con.
Scarface,,8.3,2,Writers,Crime,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Up,,8.3,1,Stars,Animation,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Hamilton,,8.4,2,Stars,Biography,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
To Kill a Mockingbird,,8.3,2,Stars,Crime,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice."
Double Indemnity,,8.3,1,Stars,Crime,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
Full Metal Jacket,,8.3,1,Stars,Drama,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
The Apartment,,8.3,2,Stars,Comedy,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
A Clockwork Orange,,8.3,2,Stars,Crime,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
Amélie,,8.3,2,Stars,Comedy,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Ikiru,,8.3,2,Stars,Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Vertigo,,8.3,2,Writers,Mystery,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
North by Northwest,,8.3,2,Stars,Action,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
Lawrence of Arabia,,8.3,3,Stars,Adventure,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
M,,8.3,1,Stars,Crime,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Citizen Kane,,8.3,1,Writers,Drama,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
Come and See,,8.4,2,Stars,Drama,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Reservoir Dogs,,8.3,1,Stars,Crime,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
The Hunt,,8.3,1,Stars,Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Capernaum,,8.4,2,Writers,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Eternal Sunshine of the Spotless Mind,,8.3,1,Stars,Drama,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
High and Low,,8.4,2,Writers,Crime,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
2001: A Space Odyssey,,8.3,2,Stars,Adventure,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
Star Wars: Episode VI - Return of the Jedi,,8.3,2,Stars,Action,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
Singin' in the Rain,,8.3,1,Stars,Comedy,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Toy Story 3,,8.3,1,Writers,Animation,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Requiem for a Dream,,8.3,1,Stars,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
3 Idiots,,8.4,2,Writers,Comedy,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Your Name.,,8.4,1,Stars,Animation,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
Top Gun: Maverick,,8.4,2,Writers,Action,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Good Will Hunting,,8.3,2,Stars,Drama,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Once Upon a Time in America,,8.3,3,Writers,Crime,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
Princess Mononoke,,8.4,2,Stars,Animation,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Avengers: Endgame,,8.4,3,Writers,Action,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Braveheart,,8.4,2,Stars,Biography,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
The Boat,,8.4,2,Stars,Drama,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
Toy Story,,8.3,1,Writers,Animation,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
Inglourious Basterds,,8.3,2,Stars,Adventure,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Joker,,8.4,2,Writers,Crime,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.
Coco,,8.4,1,Writers,Animation,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
The Dark Knight Rises,,8.4,2,Writers,Action,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Selina Kyle, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
American Beauty,,8.4,2,Stars,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Amadeus,,8.4,2,Stars,Biography,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
Spider-Man: Into the Spider-Verse,,8.4,1,Stars,Animation,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,8.4,1,Stars,Comedy,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
Aliens,,8.4,2,Writers,Action,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
Oldboy,,8.4,2,Writers,Action,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Witness for the Prosecution,,8.4,1,Writers,Crime,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
The Great Dictator,,8.4,2,Stars,Comedy,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Paths of Glory,,8.4,1,Writers,Drama,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
The Shining,,8.4,2,Stars,Drama,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
The Lives of Others,,8.4,2,Stars,Drama,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
WALL·E,,8.4,1,Stars,Animation,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Sunset Blvd.,,8.4,1,Stars,Drama,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Django Unchained,,8.4,2,Stars,Drama,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
American History X,,8.5,1,Stars,Crime,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
The Departed,,8.5,2,Stars,Crime,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Indiana Jones and the Raiders of the Lost Ark,,8.4,1,Stars,Action,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis."
Léon: The Professional,,8.5,1,Stars,Action,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
The Lion King,,8.5,1,Writers,Animation,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Parasite,,8.5,2,Stars,Drama,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Gladiator,,8.5,2,Stars,Action,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Avengers: Infinity War,,8.4,2,Writers,Action,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
The Pianist,,8.5,2,Stars,Biography,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
Terminator 2: Judgment Day,,8.6,2,Stars,Action,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old adolescent son John from an even more advanced and powerful cyborg."
The Green Mile,,8.6,3,Stars,Crime,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Spirited Away,,8.6,2,Stars,Animation,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
Psycho,,8.5,1,Stars,Horror,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
Back to the Future,,8.5,1,Stars,Adventure,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Interstellar,,8.6,2,Stars,Adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Life Is Beautiful,,8.6,1,Stars,Comedy,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
Saving Private Ryan,,8.6,2,Stars,Drama,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Star Wars: Episode IV - A New Hope,,8.6,2,Stars,Action,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
City of God,,8.6,2,Stars,Crime,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
The Silence of the Lambs,,8.6,1,Stars,Crime,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
It's a Wonderful Life,,8.6,2,Writers,Drama,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
Seven Samurai,,8.6,3,Stars,Action,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
Se7en,,8.6,2,Stars,Crime,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
The Matrix,,8.7,2,Stars,Action,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Goodfellas,,8.7,2,Stars,Biography,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
One Flew Over the Cuckoo's Nest,,8.7,2,Writers,Drama,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
Star Wars: Episode V - The Empire Strikes Back,,8.7,2,Stars,Action,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
The Lord of the Rings: The Two Towers,,8.8,2,Writers,Action,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Fight Club,,8.8,2,Stars,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Forrest Gump,,8.8,2,Stars,Drama,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
The Lord of the Rings: The Fellowship of the Ring,,8.8,2,Writers,Action,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Inception,,8.8,2,Stars,Action,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
Pulp Fiction,,8.9,2,Stars,Crime,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
The Lord of the Rings: The Return of the King,,9.0,3,Writers,Action,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
"The Good, the Bad and the Ugly",,8.8,2,Writers,Adventure,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Schindler's List,,9.0,3,Stars,Biography,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
12 Angry Men,,9.0,1,Stars,Crime,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
The Dark Knight,,9.0,2,Writers,Action,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Godfather Part II,,9.0,3,Stars,Crime,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
The Godfather,,9.2,2,Stars,Crime,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
